scope,history_length,n_observations,rho_S_vs_U,rho_D_vs_U,MAE_S_vs_U,MAE_D_vs_U,RMSE_S_vs_U,RMSE_D_vs_U
fixed_history_length,1.0,6,1.0,1.0,0.004939170857958118,0.03198136711717378,0.007604821372308299,0.03362010733263552
fixed_history_length,2.0,6,1.0,1.0,0.032062538007495006,0.07855481237286603,0.034192347872354575,0.07921376784769762
fixed_history_length,3.0,6,1.0,1.0,0.03646492277317117,0.020719267003957004,0.036541988611920546,0.02443361998269958
fixed_history_length,4.0,6,1.0,1.0,0.01826590582787041,0.003157828075822211,0.01846193928133468,0.004361633388670686
fixed_history_length,5.0,6,1.0,1.0,0.007996108649072223,0.0024158684115131077,0.008047715645836161,0.0026246474447997933
pooled_secondary,,30,0.9951056729699665,0.9951056729699665,0.019945729223113384,0.02736582859626643,0.024363398047015046,0.04007005624945516
