training_fraction,training_subset,training_tokens,from_order,to_order,selected_alpha_previous,selected_alpha_current,selected_lambda_high,test_cross_entropy_previous,test_cross_entropy_current,interpolation_test_cross_entropy,interpolation_test_perplexity,original_delta_H,interpolated_delta_H_test,improvement_vs_original_high_test,test_N,interpolated_delta_H_bootstrap,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_negative,fraction_bootstrap_positive,interpolated_delta_H,classification,delta_H_reduction
0.4,40%,316000,2,3,0.01,0.01,0.2,7.097762158199771,8.821535190315403,7.018280884987813,1116.8649471361505,1.7237730321156324,-0.0794812732119583,1.803254305327591,98840,-0.0794812732119587,1000,5000,0.95,-0.0794489603883487,0.0034739028442754,-0.0864012368007651,-0.0728901352288707,False,1.0,0.0,-0.0794812732119583,clear_benefit,1.8032543053275907
0.4,40%,316000,3,4,0.01,0.001,0.0,8.821535190315403,9.415845137646873,8.821535190315403,6778.663179411495,0.5943099473314692,0.0,0.5943099473314692,98840,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,exact_fallback,0.5943099473314692
0.4,40%,316000,4,5,0.001,0.001,0.4,9.415845137646873,9.500786094757611,9.412327109162588,12238.317765509964,0.0849409571107404,-0.0035180284842848,0.0884589855950253,98840,-0.0035180284842846,1000,5000,0.95,-0.0035126863246633,0.0003177935451704,-0.0041346921176722,-0.0028857664375692,False,1.0,0.0,-0.0035180284842848,clear_benefit,0.0884589855950252
0.4,40%,316000,5,6,0.001,0.0001,0.2,9.500786094757611,9.514203580208177,9.499257178255997,13349.806619009096,0.0134174854505619,-0.0015289165016163,0.0149464019521783,98840,-0.0015289165016177,1000,5000,0.95,-0.0014941403995591,0.0010466508640822,-0.0039388317997964,-7.024387812345049e-06,False,0.9786,0.0214,-0.0015289165016163,clear_benefit,0.0149464019521782
0.8,80%,632755,1,2,1.0,0.01,0.6,6.710417974648787,6.835922423028567,6.276955710801883,532.1661277498218,0.1255044483797798,-0.4334622638469039,0.5589667122266837,98840,-0.4334622638469045,1000,5000,0.95,-0.4335817060124728,0.0101950399245148,-0.4536199192208386,-0.4133691052133627,False,1.0,0.0,-0.4334622638469039,clear_benefit,0.5589667122266837
0.8,80%,632755,2,3,0.01,0.01,0.2,6.835922423028567,8.588776911121126,6.745114473192137,849.8964114642303,1.7528544880925594,-0.0908079498364298,1.8436624379289892,98840,-0.090807949836431,1000,5000,0.95,-0.0907897293928246,0.0036367009463947,-0.0979948011279741,-0.0836092607055147,False,1.0,0.0,-0.0908079498364298,clear_benefit,1.8436624379289892
0.8,80%,632755,3,4,0.01,0.001,0.1,8.588776911121126,9.357434425884618,8.585963506357626,5355.950722598076,0.7686575147634915,-0.0028134047635006,0.7714709195269922,98840,-0.0028134047635008,1000,5000,0.95,-0.0028308579027817,0.0016766612857272,-0.00672071016451,-0.0003680598098446,False,0.9952,0.0048,-0.0028134047635006,clear_benefit,0.7714709195269921
0.8,80%,632755,4,5,0.001,0.001,0.4,9.357434425884618,9.482127818709012,9.350033289082342,11499.20623680168,0.124693392824394,-0.0074011368022759,0.13209452962667,98840,-0.0074011368022773,1000,5000,0.95,-0.0073970311940276,0.0004185308160553,-0.0081871897172118,-0.0065530933930647,False,1.0,0.0,-0.0074011368022759,clear_benefit,0.1320945296266699
0.8,80%,632755,5,6,0.001,0.0001,0.2,9.482127818709012,9.500972326401326,9.47977299696798,13092.214204506072,0.0188445076923144,-0.0023548217410311,0.0211993294333456,98840,-0.0023548217410319,1000,5000,0.95,-0.0023286788718024,0.0016103831758082,-0.0060396627842924,-7.038662368923094e-05,False,0.9918,0.0082,-0.0023548217410311,clear_benefit,0.0211993294333455
1.0,100%,790755,1,2,1.0,0.01,0.6,6.708297744150091,6.759190029715316,6.247089787819441,516.5074889219513,0.0508922855652249,-0.4612079563306501,0.5121002418958751,98840,-0.4612079563306515,1000,5000,0.95,-0.4611465028192236,0.0104499811229874,-0.4815912300101674,-0.4408634660669069,False,1.0,0.0,-0.4612079563306501,clear_benefit,0.512100241895875
1.0,100%,790755,2,3,0.01,0.01,0.2,6.759190029715316,8.508892649256177,6.665757105481537,785.0576114577766,1.7497026195408614,-0.0934329242337783,1.8431355437746395,98840,-0.093432924233778,1000,5000,0.95,-0.0934385652750215,0.0037749566640393,-0.100723685952023,-0.086052481433895,False,1.0,0.0,-0.0934329242337783,clear_benefit,1.8431355437746397
1.0,100%,790755,3,4,0.01,0.001,0.1,8.508892649256177,9.33539877519071,8.505340720751802,4941.087465891956,0.8265061259345323,-0.0035519285043754,0.8300580544389078,98840,-0.0035519285043751,1000,5000,0.95,-0.0035610524347617,0.0017115997359005,-0.0076242851071462,-0.0010459022584624,False,1.0,0.0,-0.0035519285043754,clear_benefit,0.8300580544389077
1.0,100%,790755,4,5,0.001,0.001,0.4,9.33539877519071,9.477014218522964,9.326479273324026,11231.518686073254,0.1416154433322543,-0.0089195018666838,0.1505349451989381,98840,-0.0089195018666834,1000,5000,0.95,-0.008928348289364,0.0004792206900641,-0.0098596124367647,-0.0079620406529015,False,1.0,0.0,-0.0089195018666838,clear_benefit,0.1505349451989381
1.0,100%,790755,5,6,0.001,0.0001,0.2,9.477014218522964,9.50006804718102,9.474682892613716,13025.742784726548,0.023053828658055,-0.0023313259092478,0.0253851545673029,98840,-0.0023313259092491,1000,5000,0.95,-0.0023321095649418,0.0016428694749966,-0.006135091452478,-4.250988164481496e-05,False,0.9856,0.0144,-0.0023313259092478,clear_benefit,0.025385154567302802
