from_order,to_order,n_observations,min_delta_H,median_delta_H,max_delta_H
1,2,6,0.0508922855650881,0.5072204037785384,1.141693438634432
2,3,6,1.3301723876592586,1.6824777856873787,1.7528544880985084
3,4,6,0.1882385098325283,0.5133680386407553,0.8265061259437498
4,5,6,0.0221843663560044,0.07053024240267895,0.1416154433363434
5,6,6,0.0055143481123316,0.01144041710875495,0.0230538286587282
